Estado,Sumatoria,Mediana,Varianza
Healthy,5.556148291436183e-07,4.686493360387356e-10,7.795343289139285e-06
Healthy,6.529094918072877e-07,2.8196162228791215e-10,8.841125411633204e-06
Healthy,6.09634973848654e-07,2.985569177600922e-10,8.668791793168734e-06
Healthy,5.567450750225275e-07,2.5568679097739536e-10,7.548704912470091e-06
Healthy,5.016411162298073e-07,3.071286245668278e-10,6.604858671097523e-06
Healthy,1.10715806535433e-07,4.215620489066248e-11,1.4746942813792693e-06
Healthy,9.813254805401711e-08,3.820020803840741e-11,1.3543892637054158e-06
Healthy,9.861863852265652e-08,5.610154984751258e-11,1.270349440207425e-06
Healthy,1.6852826775991323e-07,7.001687559309997e-11,2.262606177877882e-06
Healthy,9.106768502339902e-08,3.6711071978284674e-11,1.203472764081627e-06
Healthy,1.0613114539669734e-07,4.6683503591488125e-11,1.4351003852727144e-06
Healthy,9.560507538598877e-08,4.9805077904236133e-11,1.299240876659644e-06
Healthy,1.4594252912556529e-07,7.724652303431513e-11,1.9579729157390056e-06
Healthy,1.0733428524737703e-07,3.4871463163744825e-11,1.5127002359670597e-06
Healthy,1.922141133564608e-07,9.403930704700684e-11,2.5013440902733347e-06
Healthy,1.0738550108798723e-06,6.521140567918082e-10,1.4786876869919012e-05
Healthy,7.88791343860296e-07,7.72879864592502e-10,1.1524202865823492e-05
Healthy,7.431911872604713e-07,5.920962851332712e-09,1.2686921142293303e-05
Healthy,8.168623886916913e-07,5.14533689830496e-09,1.3858198136628329e-05
Healthy,7.686124643012697e-07,4.609323450846855e-09,1.1980142338167603e-05
Healthy,6.869396558392955e-07,5.6686957527692865e-09,1.245052532357483e-05
Healthy,8.278402294847439e-07,3.939371693414585e-09,1.3150448927549394e-05
Healthy,8.204995360337853e-07,3.7270629195042e-09,1.2208125425730849e-05
Healthy,1.3123496860124833e-06,9.422509431755121e-09,2.359897057552384e-05
Healthy,2.909643759037548e-07,7.146783375701256e-10,3.991449196925753e-06
Healthy,2.958712877375731e-07,4.3011921093046906e-10,3.847096834364253e-06
Healthy,2.499403290362363e-07,5.250221798629577e-10,3.5164465142172075e-06
Healthy,3.448589415264156e-07,7.162328815983925e-10,4.684243326207108e-06
Healthy,2.6234982649726966e-07,6.102362715014764e-10,3.426472868228216e-06
Healthy,4.485210387051992e-07,4.810385610972269e-10,6.0018435342158905e-06
Healthy,6.767022229534817e-07,1.9110783758052486e-09,9.595864167366455e-06
Healthy,9.857549008153232e-07,2.139716117613993e-09,1.3820596976238504e-05
Healthy,6.261694450188457e-07,1.8221816266854224e-09,9.003496842157119e-06
Healthy,6.0044318697527e-07,1.2495481061891665e-09,9.038581464168492e-06
Healthy,1.5625184265573782e-06,9.165756096179699e-09,2.72947678139322e-05
Healthy,1.4443086611046067e-06,1.0482229830390731e-08,2.4272732894923956e-05
Healthy,1.2850605802161869e-06,6.722438240469812e-09,2.068084329776513e-05
Healthy,7.554085304377696e-07,5.699877364720728e-09,1.5135927765948547e-05
Healthy,7.428652538372494e-07,3.863644421870428e-09,1.324385395127802e-05
Healthy,3.3272769343554327e-07,1.2724601444369192e-09,5.155735521440451e-06
Healthy,8.986260130520699e-07,4.344206510714795e-09,1.4093049372804185e-05
Healthy,4.7198825499278794e-07,3.1937617952624075e-09,7.849123851989563e-06
Healthy,7.292794567334878e-07,4.2939255455390295e-09,1.2096983187808546e-05
Healthy,6.992406699439135e-07,3.352445013012939e-09,1.131163933313838e-05
Healthy,1.4516006190070672e-07,1.7457093837346999e-09,3.0414051290938056e-06
Healthy,1.6352837009305147e-07,1.25684102318125e-09,3.0674558920118508e-06
Healthy,1.5687741108472367e-06,2.3077111948205495e-07,0.0004445257854157323
Healthy,2.041899498528073e-06,2.5104050595236015e-07,0.0004539998162679772
